"C","Real-Time Hourly System Load Report"
"C","Filename: rt_hourlysysload_20191201.csv"
"C","Report for: 12/01/2019 - 12/01/2019"
"C","Report generated: 08/02/2021 14:12:46 EDT"
"H","Date","Hour Ending","Total Load"
"H","Date","HE","MWh"
"D","12/01/2019","01",12409.08
"D","12/01/2019","02",12193.86
"D","12/01/2019","03",12154.11
"D","12/01/2019","04",12122.26
"D","12/01/2019","05",12254.06
"D","12/01/2019","06",12602.96
"D","12/01/2019","07",12915.13
"D","12/01/2019","08",13156.84
"D","12/01/2019","09",13483.33
"D","12/01/2019","10",13785.68
"D","12/01/2019","11",14202.69
"D","12/01/2019","12",14532.0
"D","12/01/2019","13",14782.36
"D","12/01/2019","14",15064.04
"D","12/01/2019","15",15369.72
"D","12/01/2019","16",15810.48
"D","12/01/2019","17",16713.5
"D","12/01/2019","18",17168.24
"D","12/01/2019","19",16859.83
"D","12/01/2019","20",16276.5
"D","12/01/2019","21",15527.72
"D","12/01/2019","22",14543.1
"D","12/01/2019","23",13457.32
"D","12/01/2019","24",12687.52
"T","24 lines"